date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
21-04-2024,2024,Mohali,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Gujarat Titans,Punjab Kings,bat,142,10,146,7,Gujarat Titans,complete,0,3,R Sai Kishore,J Srinath,A Nand Kishore,VA Kulkarni,HAS Khalid,K Kelkar,20,"SM Curran, P Simran Singh, RR Rossouw, JM Sharma, LS Livingstone, Shashank Singh, Ashutosh Sharma, Harpreet Singh, Harpreet Brar, HV Patel, K Rabada, Arshdeep Singh","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, DA Miller, Azmatullah Omarzai, R Tewatia, M Shahrukh Khan, Rashid Khan, R Sai Kishore, Noor Ahmad, MM Sharma"
21-04-2024,2024,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,222,6,221,10,Kolkata Knight Riders,complete,1,0,AD Russell,Amit Sharma,A Totre,Vinod Seshan,MA Gough,A Bengeri,20,"Suyash Sharma, PD Salt, SP Narine, A Raghuvanshi, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, CV Varun, Harshit Rana","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, SS Prabhudessai, MK Lomror, KD Karthik, KV Sharma, Mohammed Siraj, LH Ferguson"
22-04-2024,2024,Jaipur,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,179,9,183,1,Rajasthan Royals,complete,0,9,Sandeep Sharma,M Nayyar,AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford,R Rajesh Kannan,20,"N Thushara, RG Sharma, Ishan Kishan, SA Yadav, Tilak Varma, Mohammad Nabi, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Powell, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma"
23-04-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,210,4,213,4,Lucknow Super Giants,complete,0,6,MP Stoinis,Sanjay Verma,NA Patwardhan,Tapan Sharma,J Madanagopal,K Swaroopanand,20,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, RA Jadeja, S Dube, MS Dhoni, MM Ali, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","Yash Thakur, Q de Kock, KL Rahul, MP Stoinis, D Padikkal, N Pooran, DJ Hooda, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan"
24-04-2024,2024,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,224,4,220,8,Delhi Capitals,complete,4,0,RR Pant,Amit Sharma,KN Ananthapadmanabhan,UV Gandhe,A Totre,A Bengeri,20,"Rasikh Salam, PP Shaw, J Fraser-McGurk, AR Patel, SD Hope, RR Pant, T Stubbs, Abishek Porel, Kuldeep Yadav, A Nortje, KK Ahmed, Mukesh Kumar","S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, M Shahrukh Khan, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad"
25-04-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,206,7,171,8,Royal Challengers Bengaluru,complete,35,0,RM Patidar,J Srinath,Nitin Menon,HAS Khalid,VK Sharma,K Kelkar,20,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, LH Ferguson, Yash Dayal, Mohammed Siraj","T Natarajan, Abhishek Sharma, TM Head, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, B Kumar, JD Unadkat, M Markande"
26-04-2024,2024,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,261,6,262,2,Punjab Kings,complete,0,8,JM Bairstow,Sanjay Verma,AK Chaudhary,YC Barde,R Pandit,R Rajesh Kannan,20,"AS Roy, PD Salt, SP Narine, VR Iyer, AD Russell, SS Iyer, RK Singh, Ramandeep Singh, A Raghuvanshi, CV Varun, Harshit Rana, PVD Chameera","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, K Rabada, RD Chahar"
27-04-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,196,5,199,3,Rajasthan Royals,complete,0,7,SV Samson,Amit Sharma,KN Ananthapadmanabhan,MA Gough,Vinod Seshan,A Bengeri,20,"A Mishra, Q de Kock, KL Rahul, MP Stoinis, DJ Hooda, N Pooran, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan, Yash Thakur","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, R Powell, SO Hetmyer, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma"
27-04-2024,2024,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,257,4,247,9,Delhi Capitals,complete,10,0,J Fraser-McGurk,V Narayan Kutty,Navdeep Singh,NA Patwardhan,J Madanagopal,K Swaroopanand,20,"Rasikh Salam, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Kumar Kushagra, Kuldeep Yadav, LB Williams, KK Ahmed, Mukesh Kumar","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, PP Chawla, L Wood, JJ Bumrah"
28-04-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,200,3,206,1,Royal Challengers Bengaluru,complete,0,9,WG Jacks,J Srinath,Nitin Menon,VK Sharma,VA Kulkarni,Bhavesh Patel,20,"S Sandeep Warrier, WP Saha, Shubman Gill, B Sai Sudharsan, M Shahrukh Khan, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, R Sai Kishore, MM Sharma, Noor Ahmad","V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, C Green, KD Karthik, KV Sharma, Mohammed Siraj, Yash Dayal, Swapnil Singh"
28-04-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,212,3,134,10,Chennai Super Kings,complete,78,0,RD Gaikwad,Sanjay Verma,R Pandit,MV Saidharshan Kumar,AK Chaudhary,K Kelkar,20,"SN Thakur, AM Rahane, RD Gaikwad, DJ Mitchell, S Dube, MS Dhoni, MM Ali, RA Jadeja, DL Chahar, TU Deshpande, Mustafizur Rahman, M Pathirana","T Natarajan, TM Head, Abhishek Sharma, Anmolpreet Singh, AK Markram, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, JD Unadkat"
29-04-2024,2024,Kolkata,"Eden Gardens, Kolkata",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,153,9,157,3,Kolkata Knight Riders,complete,0,7,CV Varun,V Narayan Kutty,Navdeep Singh,Tapan Sharma,NA Patwardhan,K Swaroopanand,20,"PP Shaw, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, AR Patel, T Stubbs, Kumar Kushagra, Kuldeep Yadav, Rasikh Salam, LB Williams, KK Ahmed","CV Varun, PD Salt, SP Narine, RK Singh, SS Iyer, VR Iyer, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, A Raghuvanshi"
30-04-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,144,7,145,6,Lucknow Super Giants,complete,0,4,MP Stoinis,DS Manohar,MA Gough,UV Gandhe,KN Ananthapadmanabhan,A Bengeri,20,"N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, N Wadhera, TH David, Mohammad Nabi, G Coetzee, PP Chawla, JJ Bumrah","MP Yadav, KL Rahul, AA Kulkarni, MP Stoinis, DJ Hooda, N Pooran, AJ Turner, A Badoni, KH Pandya, Ravi Bishnoi, Naveen-ul-Haq, Mohsin Khan"
01-05-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,162,7,163,3,Punjab Kings,complete,0,7,Harpreet Brar,R Seth,HAS Khalid,VK Sharma,A Nand Kishore,Bhavesh Patel,20,"AM Rahane, RD Gaikwad, S Dube, RA Jadeja, Sameer Rizvi, MM Ali, MS Dhoni, DJ Mitchell, DL Chahar, SN Thakur, RJ Gleeson, Mustafizur Rahman","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, RD Chahar, HV Patel, K Rabada"
02-05-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,201,3,200,7,Sunrisers Hyderabad,complete,1,0,B Kumar,Shakti Singh,AK Chaudhary,YC Barde,R Pandit,K Kelkar,20,"JD Unadkat, TM Head, Abhishek Sharma, Anmolpreet Singh, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, T Natarajan","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, R Powell, Dhruv Jurel, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma"
03-05-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,169,10,145,10,Kolkata Knight Riders,complete,24,0,VR Iyer,P Dharmani,J Madanagopal,Tapan Sharma,MA Gough,K Swaroopanand,20,"PD Salt, SP Narine, A Raghuvanshi, SS Iyer, VR Iyer, RK Singh, MK Pandey, AD Russell, Ramandeep Singh, MA Starc, VG Arora, CV Varun","N Thushara, Ishan Kishan, RG Sharma, Naman Dhir, SA Yadav, Tilak Varma, N Wadhera, HH Pandya, TH David, G Coetzee, PP Chawla, JJ Bumrah"
04-05-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,147,10,152,6,Royal Challengers Bengaluru,complete,0,4,Mohammed Siraj,DS Manohar,A Totre,Vinod Seshan,KN Ananthapadmanabhan,K Kelkar,20,"WP Saha, Shubman Gill, B Sai Sudharsan, M Shahrukh Khan, DA Miller, R Tewatia, Rashid Khan, V Shankar, MJ Suthar, MM Sharma, Noor Ahmad, J Little","Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, GJ Maxwell, C Green, KD Karthik, Swapnil Singh, KV Sharma, Mohammed Siraj, Vijaykumar Vyshak"
05-05-2024,2024,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,Punjab Kings,Punjab Kings,field,167,9,139,9,Chennai Super Kings,complete,28,0,RA Jadeja,R Seth,A Nand Kishore,VA Kulkarni,Nitin Menon,Bhavesh Patel,20,"Simarjeet Singh, AM Rahane, RD Gaikwad, DJ Mitchell, S Dube, MM Ali, RA Jadeja, MJ Santner, SN Thakur, MS Dhoni, TU Deshpande, RJ Gleeson","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, RD Chahar, K Rabada"
05-05-2024,2024,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,235,6,137,10,Kolkata Knight Riders,complete,98,0,SP Narine,Shakti Singh,MV Saidharshan Kumar,YC Barde,AK Chaudhary,R Rajesh Kannan,20,"VG Arora, PD Salt, SP Narine, A Raghuvanshi, AD Russell, RK Singh, SS Iyer, Ramandeep Singh, VR Iyer, MA Starc, Harshit Rana, CV Varun","Yash Thakur, Mohsin Khan, KL Rahul, AA Kulkarni, MP Stoinis, DJ Hooda, N Pooran, A Badoni, AJ Turner, KH Pandya, Yudhvir Singh, Ravi Bishnoi, Naveen-ul-Haq"
06-05-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,173,8,174,3,Mumbai Indians,complete,0,7,SA Yadav,P Dharmani,Navdeep Singh,Tapan Sharma,J Madanagopal,K Kelkar,20,"TM Head, Abhishek Sharma, MA Agarwal, Nithish Kumar Reddy, H Klaasen, M Jansen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, Sanvir Singh, B Kumar, T Natarajan","Ishan Kishan, RG Sharma, Naman Dhir, SA Yadav, Tilak Varma, HH Pandya, TH David, A Kamboj, PP Chawla, JJ Bumrah, N Thushara"
07-05-2024,2024,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,221,8,201,8,Delhi Capitals,complete,20,0,Kuldeep Yadav,DS Manohar,KN Ananthapadmanabhan,UV Gandhe,MA Gough,A Bengeri,20,"J Fraser-McGurk, Abishek Porel, SD Hope, AR Patel, RR Pant, T Stubbs, Gulbadin Naib, Rasikh Salam, Kuldeep Yadav, Mukesh Kumar, I Sharma, KK Ahmed","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, R Parag, SB Dubey, R Powell, D Ferreira, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma"
08-05-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,165,4,167,0,Sunrisers Hyderabad,complete,0,10,TM Head,Shakti Singh,MV Saidharshan Kumar,YC Barde,AK Chaudhary,R Pandit,20,"KL Rahul, Q de Kock, MP Stoinis, KH Pandya, N Pooran, A Badoni, DJ Hooda, K Gowtham, Yash Thakur, Ravi Bishnoi, Naveen-ul-Haq","T Natarajan, Abhishek Sharma, TM Head, Nithish Kumar Reddy, H Klaasen, Abdul Samad, Shahbaz Ahmed, Sanvir Singh, PJ Cummins, B Kumar, JD Unadkat, V Viyaskanth"
09-05-2024,2024,Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,241,7,181,10,Royal Challengers Bengaluru,complete,60,0,V Kohli,R Seth,Nitin Menon,HAS Khalid,VK Sharma,Bhavesh Patel,20,"Yash Dayal, V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, KD Karthik, MK Lomror, Swapnil Singh, KV Sharma, Mohammed Siraj, LH Ferguson","V Kaverappa, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, JM Sharma, LS Livingstone, SM Curran, Ashutosh Sharma, HV Patel, RD Chahar, Arshdeep Singh"
10-05-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,231,3,196,8,Gujarat Titans,complete,35,0,Shubman Gill,P Dharmani,KN Ananthapadmanabhan,NA Patwardhan,J Madanagopal,K Swaroopanand,20,"S Sandeep Warrier, B Sai Sudharsan, Shubman Gill, DA Miller, M Shahrukh Khan, MS Wade, R Tewatia, Rashid Khan, Noor Ahmad, UT Yadav, MM Sharma, Kartik Tyagi","TU Deshpande, AM Rahane, R Ravindra, RD Gaikwad, DJ Mitchell, MM Ali, S Dube, RA Jadeja, MS Dhoni, MJ Santner, SN Thakur, Simarjeet Singh"
11-05-2024,2024,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,157,7,139,8,Kolkata Knight Riders,complete,18,0,CV Varun,DS Manohar,UV Gandhe,Vinod Seshan,MA Gough,A Bengeri,20,"VG Arora, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, AD Russell, RK Singh, Ramandeep Singh, MA Starc, Harshit Rana, CV Varun","N Thushara, Ishan Kishan, RG Sharma, SA Yadav, Tilak Varma, HH Pandya, TH David, N Wadhera, Naman Dhir, A Kamboj, PP Chawla, JJ Bumrah"
12-05-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,187,9,140,10,Royal Challengers Bengaluru,complete,47,0,C Green,R Seth,A Nand Kishore,VA Kulkarni,Nitin Menon,Bhavesh Patel,20,"V Kohli, F du Plessis, WG Jacks, RM Patidar, C Green, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, Mohammed Siraj, Yash Dayal, LH Ferguson","KK Ahmed, DA Warner, J Fraser-McGurk, Abishek Porel, SD Hope, Kumar Kushagra, AR Patel, T Stubbs, Rasikh Salam, Kuldeep Yadav, Mukesh Kumar, I Sharma"
12-05-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,141,5,145,5,Chennai Super Kings,complete,0,5,Simarjeet Singh,Shakti Singh,R Pandit,YC Barde,AK Chaudhary,R Rajesh Kannan,20,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, Dhruv Jurel, SB Dubey, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","R Ravindra, RD Gaikwad, DJ Mitchell, MM Ali, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, SN Thakur, TU Deshpande, Simarjeet Singh, M Theekshana"
14-05-2024,2024,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,208,4,189,9,Delhi Capitals,complete,19,0,I Sharma,DS Manohar,A Totre,Vinod Seshan,KN Ananthapadmanabhan,A Bengeri,20,"I Sharma, J Fraser-McGurk, Abishek Porel, SD Hope, RR Pant, T Stubbs, AR Patel, Gulbadin Naib, Rasikh Salam, Mukesh Kumar, Kuldeep Yadav, KK Ahmed","Mohsin Khan, Q de Kock, KL Rahul, MP Stoinis, DJ Hooda, N Pooran, A Badoni, KH Pandya, Arshad Khan, Yudhvir Singh, Ravi Bishnoi, Naveen-ul-Haq"
15-05-2024,2024,Guwahati,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,144,9,145,5,Punjab Kings,complete,0,5,SM Curran,Shakti Singh,R Pandit,MV Saidharshan Kumar,AK Chaudhary,R Rajesh Kannan,20,"YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, R Ashwin, Dhruv Jurel, R Powell, D Ferreira, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","Arshdeep Singh, P Simran Singh, JM Bairstow, RR Rossouw, Shashank Singh, SM Curran, JM Sharma, Ashutosh Sharma, Harpreet Brar, HV Patel, NT Ellis, RD Chahar"
17-05-2024,2024,Mumbai,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,214,6,196,6,Lucknow Super Giants,complete,18,0,N Pooran,P Dharmani,Navdeep Singh,R Pandit,J Madanagopal,K Swaroopanand,20,"Naveen-ul-Haq, KL Rahul, D Padikkal, MP Stoinis, DJ Hooda, N Pooran, Arshad Khan, A Badoni, KH Pandya, MJ Henry, Ravi Bishnoi, Mohsin Khan","N Thushara, RG Sharma, D Brevis, SA Yadav, Ishan Kishan, HH Pandya, N Wadhera, Naman Dhir, R Shepherd, A Kamboj, PP Chawla, Arjun Tendulkar"
18-05-2024,2024,Bengaluru,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,218,5,191,7,Royal Challengers Bengaluru,complete,27,0,F du Plessis,DS Manohar,A Totre,KN Ananthapadmanabhan,MA Gough,A Bengeri,20,"Swapnil Singh, V Kohli, F du Plessis, RM Patidar, C Green, KD Karthik, GJ Maxwell, MK Lomror, Yash Dayal, KV Sharma, Mohammed Siraj, LH Ferguson","M Theekshana, RD Gaikwad, R Ravindra, DJ Mitchell, AM Rahane, S Dube, RA Jadeja, MJ Santner, MS Dhoni, SN Thakur, TU Deshpande, Simarjeet Singh"
19-05-2024,2024,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,214,5,215,6,Sunrisers Hyderabad,complete,0,4,Abhishek Sharma,Prakash Bhatt,Nitin Menon,VK Sharma,HAS Khalid,Bhavesh Patel,20,"Arshdeep Singh, Atharva Taide, P Simran Singh, RR Rossouw, Shashank Singh, JM Sharma, Ashutosh Sharma, Shivam Singh, R Dhawan, Harpreet Brar, HV Patel, RD Chahar","T Natarajan, TM Head, Abhishek Sharma, RA Tripathi, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, Sanvir Singh, PJ Cummins, B Kumar, V Viyaskanth"
21-05-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,159,10,164,2,Kolkata Knight Riders,complete,0,8,MA Starc,J Srinath,AK Chaudhary,R Pandit,KN Ananthapadmanabhan,MV Saidharshan Kumar,20,"TM Head, Abhishek Sharma, RA Tripathi, Nithish Kumar Reddy, Shahbaz Ahmed, H Klaasen, Abdul Samad, Sanvir Singh, PJ Cummins, B Kumar, V Viyaskanth, T Natarajan","Rahmanullah Gurbaz, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, CV Varun"
22-05-2024,2024,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,172,8,174,6,Rajasthan Royals,complete,0,4,R Ashwin,V Narayan Kutty,KN Ananthapadmanabhan,MV Saidharshan Kumar,AK Chaudhary,R Pandit,20,"V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, MK Lomror, KD Karthik, Swapnil Singh, KV Sharma, Yash Dayal, Mohammed Siraj, LH Ferguson","YS Chahal, YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, Dhruv Jurel, SO Hetmyer, R Powell, R Ashwin, TA Boult, Avesh Khan, Sandeep Sharma"
24-05-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,175,9,139,7,Sunrisers Hyderabad,complete,36,0,Shahbaz Ahmed,J Srinath,Nitin Menon,VK Sharma,MA Gough,J Madanagopal,20,"TM Head, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Nithish Kumar Reddy, Abdul Samad, Shahbaz Ahmed, PJ Cummins, JD Unadkat, B Kumar, T Natarajan","YS Chahal, YBK Jaiswal, T Kohler-Cadmore, SV Samson, R Parag, Dhruv Jurel, R Ashwin, SO Hetmyer, R Powell, TA Boult, Sandeep Sharma, Avesh Khan"
26-05-2024,2024,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,113,10,114,2,Kolkata Knight Riders,complete,0,8,MA Starc,M Nayyar,J Madanagopal,Nitin Menon,MA Gough,VK Sharma,20,"Abhishek Sharma, TM Head, RA Tripathi, AK Markram, Nithish Kumar Reddy, H Klaasen, Shahbaz Ahmed, Abdul Samad, PJ Cummins, JD Unadkat, B Kumar, T Natarajan","Rahmanullah Gurbaz, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, VG Arora, Harshit Rana, CV Varun"
22-03-2025,2025,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,174,8,177,3,Royal Challengers Bengaluru,complete,0,7,KH Pandya,Prakash Bhatt,A Bengeri,Vinod Seshan,J Madanagopal,TM Srivastava,20,"VG Arora, Q de Kock, SP Narine, AM Rahane, VR Iyer, A Raghuvanshi, RK Singh, AD Russell, Ramandeep Singh, Harshit Rana, SH Johnson, CV Varun","Suyash Sharma, PD Salt, V Kohli, D Padikkal, RM Patidar, LS Livingstone, JM Sharma, TH David, KH Pandya, Rasikh Salam, JR Hazlewood, Yash Dayal"
23-03-2025,2025,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,286,6,242,6,Sunrisers Hyderabad,complete,44,0,Ishan Kishan,Shakti Singh,AT Holdstock,A Totre,R Pandit,K Kelkar,20,"A Zampa, Abhishek Sharma, TM Head, Ishan Kishan, Nithish Kumar Reddy, H Klaasen, Aniket Verma, A Manohar, PJ Cummins, Simarjeet Singh, HV Patel, Mohammed Shami","Fazalhaq Farooqi, YBK Jaiswal, SV Samson, R Parag, N Rana, Dhruv Jurel, SO Hetmyer, SB Dubey, JC Archer, M Theekshana, TU Deshpande, Sandeep Sharma"
23-03-2025,2025,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,155,9,158,6,Chennai Super Kings,complete,0,4,Noor Ahmad,J Srinath,KN Ananthapadmanabhan,HAS Khalid,Nitin Menon,Bhavesh Patel,20,"V Puthur, RG Sharma, RD Rickelton, WG Jacks, SA Yadav, Tilak Varma, R Minz, Naman Dhir, MJ Santner, DL Chahar, TA Boult, PVSN Raju","KK Ahmed, R Ravindra, RA Tripathi, RD Gaikwad, S Dube, DJ Hooda, SM Curran, RA Jadeja, MS Dhoni, R Ashwin, Noor Ahmad, NT Ellis"
24-03-2025,2025,Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Lucknow Super Giants,Delhi Capitals,Delhi Capitals,field,209,8,211,9,Delhi Capitals,complete,0,1,Ashutosh Sharma,V Narayan Kutty,Abhijit Bhattacharya,UV Gandhe,VK Sharma,AK Argal,20,"M Siddharth, AK Markram, MR Marsh, N Pooran, RR Pant, DA Miller, A Badoni, SN Thakur, Shahbaz Ahmed, Ravi Bishnoi, DS Rathi, Prince Yadav","Mukesh Kumar, J Fraser-McGurk, F du Plessis, Abishek Porel, Sameer Rizvi, AR Patel, T Stubbs, Ashutosh Sharma, V Nigam, MA Starc, Kuldeep Yadav, MM Sharma"
