date,season,city,venue,team1,team2,toss_winner,toss_decision,team1_runs,team1_wickets,team2_runs,team2_wickets,winner,result_type,win_by_runs,win_by_wickets,player_of_match,match_referee,umpire1,umpire2,tv_umpire,reserve_umpire,overs_limit,team1_players,team2_players
09-05-2023,2023,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,199,6,200,4,Mumbai Indians,complete,0,6,SA Yadav,RS Sodhi,HAS Khalid,VK Sharma,Nitin Menon,VM Dhokre,20,"V Kohli, F du Plessis, Anuj Rawat, GJ Maxwell, MK Lomror, KD Karthik, KM Jadhav, PWH de Silva, JR Hazlewood, Mohammed Siraj, Vijaykumar Vyshak, HV Patel","Ishan Kishan, RG Sharma, SA Yadav, N Wadhera, TH David, C Green, CJ Jordan, PP Chawla, JP Behrendorff, K Kartikeya, Akash Madhwal"
10-05-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,167,8,140,8,Chennai Super Kings,complete,27,0,RA Jadeja,Sanjay Verma,CB Gaffaney,NA Patwardhan,AK Chaudhary,M Krishnadas,20,"M Pathirana, RD Gaikwad, DP Conway, AM Rahane, MM Ali, S Dube, AT Rayudu, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, M Theekshana","KK Ahmed, DA Warner, PD Salt, MR Marsh, MK Pandey, RR Rossouw, RV Patel, AR Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, I Sharma"
11-05-2023,2023,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,149,8,151,1,Rajasthan Royals,complete,0,9,YBK Jaiswal,P Dharmani,RJ Tucker,MV Saidharshan Kumar,R Pandit,P Joshi,20,"Suyash Sharma, JJ Roy, Rahmanullah Gurbaz, VR Iyer, N Rana, AD Russell, RK Singh, SN Thakur, AS Roy, SP Narine, Harshit Rana, CV Varun","YBK Jaiswal, JC Buttler, SV Samson, JE Root, Dhruv Jurel, SO Hetmyer, R Ashwin, Sandeep Sharma, KM Asif, TA Boult, YS Chahal"
12-05-2023,2023,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,218,5,191,8,Mumbai Indians,complete,27,0,SA Yadav,RS Sodhi,Nitin Menon,Tapan Sharma,Vinod Seshan,VM Dhokre,20,"Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, N Wadhera, Vishnu Vinod, TH David, C Green, CJ Jordan, PP Chawla, JP Behrendorff, K Kartikeya","MM Sharma, WP Saha, Shubman Gill, HH Pandya, V Shankar, DA Miller, A Manohar, R Tewatia, Rashid Khan, Noor Ahmad, AS Joseph, Mohammed Shami"
13-05-2023,2023,Delhi,"Arun Jaitley Stadium, Delhi",Punjab Kings,Delhi Capitals,Delhi Capitals,field,167,7,136,8,Punjab Kings,complete,31,0,P Simran Singh,Sanjay Verma,CB Gaffaney,NA Patwardhan,GR Sadashiv Iyer,M Krishnadas,20,"NT Ellis, P Simran Singh, S Dhawan, LS Livingstone, JM Sharma, SM Curran, Harpreet Brar, M Shahrukh Khan, Sikandar Raza, R Dhawan, RD Chahar, Arshdeep Singh","KK Ahmed, DA Warner, PD Salt, MR Marsh, RR Rossouw, AR Patel, MK Pandey, Aman Hakim Khan, P Dubey, Kuldeep Yadav, Mukesh Kumar, I Sharma"
13-05-2023,2023,Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,182,6,185,3,Lucknow Super Giants,complete,0,7,PN Mankad,P Dharmani,A Totre,J Madanagopal,YC Barde,Mohamad Rafi,20,"Vivrant Sharma, Anmolpreet Singh, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, GD Phillips, Abdul Samad, B Kumar, T Natarajan, M Markande, Fazalhaq Farooqi","A Mishra, KR Mayers, Q de Kock, PN Mankad, MP Stoinis, N Pooran, KH Pandya, Yash Thakur, Ravi Bishnoi, Yudhvir Singh, Avesh Khan, A Badoni"
14-05-2023,2023,Jaipur,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,171,5,59,10,Royal Challengers Bangalore,complete,112,0,WD Parnell,V Narayan Kutty,KN Ananthapadmanabhan,Navdeep Singh,RJ Tucker,P Joshi,20,"Shahbaz Ahmed, V Kohli, F du Plessis, GJ Maxwell, MK Lomror, KD Karthik, MG Bracewell, Anuj Rawat, WD Parnell, KV Sharma, HV Patel, Mohammed Siraj","YS Chahal, YBK Jaiswal, JC Buttler, SV Samson, JE Root, D Padikkal, SO Hetmyer, Dhruv Jurel, R Ashwin, A Zampa, Sandeep Sharma, KM Asif"
14-05-2023,2023,Chennai,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,144,6,147,4,Kolkata Knight Riders,complete,0,6,RK Singh,J Srinath,Tapan Sharma,Vinod Seshan,Nitin Menon,VM Dhokre,20,"M Pathirana, RD Gaikwad, DP Conway, AM Rahane, AT Rayudu, S Dube, MM Ali, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, M Theekshana","Suyash Sharma, JJ Roy, Rahmanullah Gurbaz, VR Iyer, N Rana, RK Singh, AD Russell, SN Thakur, SP Narine, VG Arora, Harshit Rana, CV Varun"
15-05-2023,2023,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,188,9,154,9,Gujarat Titans,complete,34,0,Shubman Gill,M Nayyar,J Madanagopal,UV Gandhe,A Totre,Mohamad Rafi,20,"Yash Dayal, WP Saha, Shubman Gill, B Sai Sudharsan, HH Pandya, DA Miller, R Tewatia, MD Shanaka, Rashid Khan, Noor Ahmad, Mohammed Shami, MM Sharma","T Natarajan, Anmolpreet Singh, Abhishek Sharma, AK Markram, RA Tripathi, H Klaasen, Sanvir Singh, Abdul Samad, M Jansen, B Kumar, M Markande, Fazalhaq Farooqi"
16-05-2023,2023,Lucknow,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,177,4,172,5,Lucknow Super Giants,complete,5,0,MP Stoinis,Sanjay Verma,AK Chaudhary,A Nand Kishore,CB Gaffaney,M Krishnadas,20,"Yash Thakur, DJ Hooda, Q de Kock, PN Mankad, KH Pandya, MP Stoinis, N Pooran, A Badoni, Naveen-ul-Haq, Ravi Bishnoi, Swapnil Singh, Mohsin Khan","Akash Madhwal, Ishan Kishan, RG Sharma, SA Yadav, N Wadhera, TH David, Vishnu Vinod, C Green, CJ Jordan, HR Shokeen, PP Chawla, JP Behrendorff"
